Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS02G01Z92,2020.06,136202,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z92,2021.06,141860,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net worth,,,,
GFSA.SLS02G01Z95,2009.06,7320,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2010.06,9342,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2011.06,10253,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2012.06,11411,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2013.06,12530,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2014.06,13269,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2015.06,15116,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2016.06,16154,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2017.06,17649,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2018.06,18811,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2019.06,19941,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2020.06,22684,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z95,2021.06,23471,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Gross debt,,,,
GFSA.SLS02G01Z96,2010.06,5111,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2011.06,5911,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2012.06,6783,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2013.06,7534,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2014.06,8166,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2015.06,9207,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2016.06,10249,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2017.06,10942,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2018.06,11457,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2019.06,12413,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2020.06,14046,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G01Z96,2021.06,14036,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Net Balances and Memorandum Items",Net debt,,,,
GFSA.SLS02G05Z623015,2021.06,5391,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Shares and other equity,,,
GFSA.SLS02G05Z623017,2011.06,7237,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2012.06,7407,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2013.06,7443,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2014.06,7436,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2015.06,7585,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2016.06,8013,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2017.06,8163,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2018.06,8248,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2019.06,8940,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2020.06,7866,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z623017,2021.06,7882,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Equity accounted investments,,,
GFSA.SLS02G05Z629999,2009.06,9683,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2010.06,10554,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2011.06,13686,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2012.06,14409,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2013.06,14860,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2014.06,15132,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2015.06,16169,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2016.06,17338,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2017.06,18086,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2018.06,18893,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2019.06,20372,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2020.06,22060,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G05Z629999,2021.06,23142,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Financial Assets",Financial assets,Total,,,
GFSA.SLS02G06Z616111,2009.06,62266,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2010.06,64726,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2011.06,64359,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2012.06,66548,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2013.06,68517,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2014.06,72297,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2015.06,75436,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2016.06,77731,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2017.06,83046,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2018.06,86275,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2019.06,91644,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2020.06,98546,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G06Z616111,2021.06,101188,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Fixed Assets",Non-financial assets,Fixed assets,Buildings and structures,,
GFSA.SLS02G07Z616141,2009.06,24684,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2010.06,25652,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2011.06,28312,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2012.06,27807,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2013.06,27761,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2014.06,29640,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2015.06,30670,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2016.06,32222,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2017.06,33269,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2018.06,35302,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2019.06,36540,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2020.06,37820,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G07Z616141,2021.06,39338,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Non-produced Assets",Non-financial assets,Non-produced assets,Land,,
GFSA.SLS02G093014,2009.06,5332,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
GFSA.SLS02G093014,2010.06,7114,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
GFSA.SLS02G093014,2011.06,7689,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
GFSA.SLS02G093014,2012.06,8914,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
GFSA.SLS02G093014,2013.06,10268,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
GFSA.SLS02G093014,2014.06,10963,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
GFSA.SLS02G093014,2015.06,12475,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
GFSA.SLS02G093014,2016.06,13455,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
GFSA.SLS02G093014,2017.06,14765,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
GFSA.SLS02G093014,2018.06,15734,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Balance Sheet, Liabilities",Loans,,,,
